# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  F435Wmag  F475Wmag  F555Wmag  F606Wmag  F625Wmag  F775Wmag  F814Wmag
0.0015467 -1.00000 9.00000 0.4499999881 2.1822809009    0.450 -1.387  3.6075  4.859    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.86e-15      0.00 7.470e-01 2.514e-01 2.929e-04 7.903e-05 7.168e-04 -1.000 1.629e-03 8.236 10.330 9.839 9.151 8.654 8.333 7.626 7.525
0.0015467 -1.00000 9.00000 0.5000000000 2.2374541529    0.500 -1.204  3.6299  4.812    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.36e-15      0.00 7.470e-01 2.514e-01 2.929e-04 7.903e-05 7.168e-04 -1.000 1.629e-03 7.779 9.593 9.148 8.526 8.083 7.783 7.154 7.064
0.0015467 -1.00000 9.00000 0.5496051908 2.2833311075    0.549 -1.017  3.6586  4.781    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.62e-15      0.00 7.500e-01 2.483e-01 2.897e-04 7.816e-05 7.089e-04 -1.000 1.617e-03 7.313 8.774 8.390 7.853 7.480 7.213 6.673 6.597
0.0015467 -1.00000 9.00000 0.5500000715 2.2836583126    0.550 -1.016  3.6588  4.781    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.64e-15      0.00 7.501e-01 2.483e-01 2.897e-04 7.815e-05 7.089e-04 -1.000 1.617e-03 7.309 8.768 8.384 7.848 7.475 7.209 6.669 6.594
0.0015467 -1.00000 9.00000 0.6000000238 2.3211213258    0.600 -0.841  3.6857  4.752    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.82e-15      0.00 7.507e-01 2.476e-01 2.890e-04 7.798e-05 7.073e-04 -1.000 1.627e-03 6.874 8.056 7.712 7.245 6.933 6.700 6.226 6.161
0.0015467 -1.00000 9.00000 0.6499999762 2.3520353107    0.650 -0.677  3.7110  4.724    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.42e-14      0.00 7.516e-01 2.468e-01 2.881e-04 7.774e-05 7.051e-04 -1.000 1.624e-03 6.463 7.446 7.136 6.720 6.452 6.246 5.818 5.762
0.0015467 -1.00000 9.00000 0.6999999881 2.3779266974    0.700 -0.523  3.7359  4.701    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.01e-14      0.00 7.526e-01 2.458e-01 2.871e-04 7.748e-05 7.028e-04 -1.000 1.574e-03 6.077 6.901 6.630 6.259 6.024 5.840 5.451 5.404
0.0015467 -1.00000 9.00000 0.7500000000 2.3998889087    0.750 -0.379  3.7592  4.680    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -2.77e-14      0.00 7.539e-01 2.446e-01 2.822e-04 7.706e-05 7.001e-04 -1.000 1.568e-03 5.716 6.416 6.182 5.852 5.646 5.480 5.129 5.087
0.0015467 -1.00000 9.00000 0.7917912602 2.4158193988    0.792 -0.266  3.7740  4.651    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -3.61e-14      0.00 7.558e-01 2.427e-01 2.804e-04 7.658e-05 6.958e-04 -1.000 1.536e-03 5.435 6.064 5.855 5.552 5.363 5.209 4.880 4.843
0.0015467 -1.00000 9.00000 0.8000000119 2.4187244405    0.800 -0.244  3.7769  4.645    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1  -3.8e-14      0.00 7.562e-01 2.422e-01 2.800e-04 7.648e-05 6.948e-04 -1.000 1.533e-03 5.381 5.997 5.793 5.496 5.310 5.157 4.833 4.797
0.0015467 -1.00000 9.00000 0.8023427725 2.4195410046    0.802 -0.238  3.7776  4.643    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -3.86e-14      0.00 7.564e-01 2.421e-01 2.798e-04 7.643e-05 6.945e-04 -1.000 1.535e-03 5.365 5.978 5.776 5.480 5.294 5.143 4.820 4.783
0.0015467 -1.00000 9.00000 0.8500000238 2.4350346840    0.850 -0.117  3.7921  4.604    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -5.19e-14      0.00 7.601e-01 2.383e-01 2.764e-04 7.550e-05 6.861e-04 -1.000 1.590e-03 5.061 5.613 5.434 5.164 4.994 4.853 4.553 4.520
0.0015467 -1.00000 9.00000 0.8999999762 2.4492786016    0.899  0.005  3.8058  4.562    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -7.01e-14      0.00 7.627e-01 2.358e-01 2.737e-04 7.481e-05 6.800e-04 -1.000 1.532e-03 4.757 5.256 5.097 4.850 4.695 4.565 4.286 4.257
0.0015467 -1.00000 9.00000 0.9037799239 2.4502819801    0.903  0.014  3.8068  4.559    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -7.17e-14      0.00 7.627e-01 2.358e-01 2.738e-04 7.483e-05 6.802e-04 -1.000 1.531e-03 4.735 5.230 5.072 4.828 4.673 4.544 4.266 4.237
