# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  F435Wmag  F475Wmag  F555Wmag  F606Wmag  F625Wmag  F775Wmag  F814Wmag
0.00024632 -1.80000 9.00000 0.0900000036 1.0816895926    0.090 -3.152  3.4913  5.461    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.54e-17      0.00 7.505e-01 2.492e-01 4.823e-05 1.301e-05 1.180e-04 -1.000 2.682e-04 12.649 16.834 15.983 14.938 14.155 13.775 12.111 11.911
0.00024632 -1.80000 9.00000 0.0916174576 1.0970055077    0.092 -3.107  3.4975  5.449    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.17e-17      0.00 7.505e-01 2.493e-01 4.823e-05 1.301e-05 1.180e-04 -1.000 2.681e-04 12.537 16.576 15.755 14.705 13.954 13.573 11.994 11.802
0.00024632 -1.80000 9.00000 0.0965862200 1.1419401532    0.097 -2.954  3.5198  5.408    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.93e-17      0.00 7.504e-01 2.493e-01 4.823e-05 1.301e-05 1.180e-04 -1.000 2.682e-04 12.156 15.696 14.968 13.942 13.271 12.893 11.596 11.429
0.00024632 -1.80000 9.00000 0.0974547863 1.1494866343    0.097 -2.929  3.5237  5.403    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.47e-17      0.00 7.504e-01 2.493e-01 4.823e-05 1.301e-05 1.180e-04 -1.000 2.682e-04 12.094 15.551 14.838 13.824 13.162 12.785 11.530 11.368
0.00024632 -1.80000 9.00000 0.0994584933 1.1665670267    0.099 -2.861  3.5338  5.384    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.12e-16      0.00 7.503e-01 2.494e-01 4.823e-05 1.301e-05 1.180e-04 -1.000 2.682e-04 11.923 15.173 14.496 13.518 12.875 12.500 11.351 11.199
0.00024632 -1.80000 9.00000 0.1000000015 1.1711064122    0.100 -2.843  3.5365  5.379    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.17e-16      0.00 7.503e-01 2.494e-01 4.823e-05 1.301e-05 1.180e-04 -1.000 2.682e-04 11.877 15.073 14.405 13.438 12.799 12.425 11.303 11.154
0.00024632 -1.80000 9.00000 0.1061190218 1.2202784193    0.106 -2.749  3.5465  5.350    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.46e-16      0.00 7.502e-01 2.495e-01 4.823e-05 1.301e-05 1.180e-04 -1.000 2.682e-04 11.641 14.640 14.005 13.081 12.456 12.086 11.059 10.919
0.00024632 -1.80000 9.00000 0.1199999973 1.3193154249    0.120 -2.551  3.5674  5.290    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.31e-16      0.00 7.501e-01 2.497e-01 4.823e-05 1.301e-05 1.180e-04 -1.000 2.682e-04 11.148 13.765 13.192 12.363 11.771 11.412 10.550 10.427
0.00024632 -1.80000 9.00000 0.1400000006 1.4384526719    0.140 -2.372  3.5822  5.237    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.44e-16      0.00 7.499e-01 2.498e-01 4.823e-05 1.301e-05 1.180e-04 -1.000 2.682e-04 10.700 13.076 12.540 11.775 11.217 10.872 10.092 9.979
0.00024632 -1.80000 9.00000 0.1599999964 1.5372931554    0.160 -2.237  3.5919  5.199    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.58e-16      0.00 7.498e-01 2.499e-01 4.823e-05 1.301e-05 1.180e-04 -1.000 2.681e-04 10.363 12.591 12.077 11.353 10.822 10.488 9.749 9.641
