# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  F435Wmag  F475Wmag  F555Wmag  F606Wmag  F625Wmag  F775Wmag  F814Wmag
0.00039019 -1.60000 9.00000 0.0900000036 1.0816895926    0.090 -3.157  3.4823  5.430    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.67e-17      0.00 7.503e-01 2.493e-01 7.531e-05 2.032e-05 1.843e-04 -1.000 4.188e-04 12.663 17.166 16.263 15.246 14.410 14.030 12.201 11.979
0.00039019 -1.60000 9.00000 0.0906770155 1.0881435231    0.091 -3.140  3.4846  5.426    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -5.9e-17      0.00 7.503e-01 2.493e-01 7.531e-05 2.032e-05 1.843e-04 -1.000 4.188e-04 12.620 17.054 16.165 15.142 14.323 13.942 12.154 11.936
0.00039019 -1.60000 9.00000 0.0965696573 1.1417953934    0.097 -2.979  3.5079  5.385    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.68e-17      0.00 7.503e-01 2.493e-01 7.531e-05 2.032e-05 1.843e-04 -1.000 4.188e-04 12.217 16.056 15.279 14.242 13.539 13.162 11.709 11.525
0.00039019 -1.60000 9.00000 0.0976081863 1.1508103567    0.098 -2.951  3.5120  5.379    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.25e-17      0.00 7.503e-01 2.493e-01 7.531e-05 2.032e-05 1.843e-04 -1.000 4.188e-04 12.148 15.892 15.131 14.101 13.412 13.035 11.634 11.455
0.00039019 -1.60000 9.00000 0.1000000015 1.1711064122    0.100 -2.881  3.5222  5.359    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -1.1e-16      0.00 7.502e-01 2.494e-01 7.531e-05 2.032e-05 1.843e-04 -1.000 4.188e-04 11.971 15.483 14.762 13.754 13.094 12.719 11.442 11.275
0.00039019 -1.60000 9.00000 0.1097071767 1.2474299507    0.110 -2.735  3.5380  5.317    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.53e-16      0.00 7.501e-01 2.495e-01 7.531e-05 2.032e-05 1.843e-04 -1.000 4.188e-04 11.608 14.788 14.124 13.172 12.540 12.169 11.057 10.907
0.00039019 -1.60000 9.00000 0.1200000048 1.3193154741    0.120 -2.594  3.5533  5.276    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.13e-16      0.00 7.500e-01 2.496e-01 7.531e-05 2.032e-05 1.843e-04 -1.000 4.188e-04 11.254 14.139 13.522 12.634 12.024 11.660 10.683 10.548
0.00039019 -1.60000 9.00000 0.1400000006 1.4384526719    0.140 -2.415  3.5684  5.224    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.16e-16      0.00 7.498e-01 2.497e-01 7.531e-05 2.032e-05 1.843e-04 -1.000 4.187e-04 10.807 13.424 12.850 12.027 11.440 11.084 10.220 10.097
0.00039019 -1.60000 9.00000 0.1599999964 1.5372931554    0.160 -2.279  3.5784  5.187    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.21e-16      0.00 7.497e-01 2.499e-01 7.531e-05 2.032e-05 1.843e-04 -1.000 4.188e-04 10.469 12.923 12.374 11.593 11.026 10.678 9.872 9.756
0.00039019 -1.60000 9.00000 0.2000000179 1.6938791367    0.200 -2.076  3.5916  5.133    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.41e-16      0.00 7.494e-01 2.501e-01 7.531e-05 2.032e-05 1.843e-04 -1.000 4.188e-04 9.959 12.210 11.693 10.964 10.432 10.097 9.352 9.244
0.00039019 -1.60000 9.00000 0.2500000000 1.8403257998    0.250 -1.884  3.6031  5.085    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.42e-16      0.00 7.492e-01 2.503e-01 7.531e-05 2.032e-05 1.843e-04 -1.000 4.188e-04 9.481 11.570 11.077 10.390 9.889 9.567 8.863 8.762
0.00039019 -1.60000 9.00000 0.3032951355 1.9594661913    0.303 -1.721  3.6124  5.042    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.31e-15      0.00 7.490e-01 2.505e-01 7.530e-05 2.032e-05 1.843e-04 -1.000 4.187e-04 9.072 11.035 10.563 9.907 9.432 9.121 8.447 8.350
0.00039019 -1.60000 9.00000 0.3377133310 2.0228077445    0.338 -1.627  3.6174  5.015    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.59e-15      0.00 7.490e-01 2.505e-01 7.530e-05 2.032e-05 1.843e-04 -1.000 4.188e-04 8.837 10.736 10.273 9.633 9.172 8.867 8.209 8.114
0.00039019 -1.60000 9.00000 0.3435304761 2.0326848812    0.344 -1.610  3.6182  5.009    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.65e-15      0.00 7.493e-01 2.503e-01 7.530e-05 2.032e-05 1.843e-04 -1.000 4.188e-04 8.795 10.684 10.223 9.586 9.126 8.823 8.166 8.072
0.00039019 -1.60000 9.00000 0.3499999940 2.0434174644    0.350 -1.597  3.6191  5.008    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.68e-15      0.00 7.494e-01 2.502e-01 7.530e-05 2.032e-05 1.843e-04 -1.000 4.188e-04 8.763 10.640 10.180 9.546 9.089 8.786 8.133 8.039
0.00039019 -1.60000 9.00000 0.3629518151 2.0641485845    0.363 -1.555  3.6218  4.992    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.85e-15      0.00 7.495e-01 2.500e-01 7.530e-05 2.032e-05 1.843e-04 -1.000 4.188e-04 8.657 10.501 10.046 9.421 8.971 8.671 8.026 7.933
0.00039019 -1.60000 9.00000 0.3763463497 2.0846004009    0.376 -1.516  3.6243  4.978    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.02e-15      0.00 7.497e-01 2.499e-01 7.530e-05 2.032e-05 1.843e-04 -1.000 4.188e-04 8.559 10.371 9.922 9.304 8.861 8.564 7.926 7.835
0.00039019 -1.60000 9.00000 0.4000000060 2.1185024399    0.400 -1.449  3.6287  4.956    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.35e-15      0.00 7.505e-01 2.491e-01 7.531e-05 2.032e-05 1.843e-04 -1.000 4.188e-04 8.392 10.151 9.709 9.105 8.674 8.383 7.757 7.668
