# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  F435Wmag  F475Wmag  F555Wmag  F606Wmag  F625Wmag  F775Wmag  F814Wmag
0.0060543 -0.40000 9.00000 0.0900000036 1.0816895926    0.090 -3.316  3.4004  5.262    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.78e-17      0.00 7.347e-01 2.593e-01 1.090e-03 2.941e-04 2.668e-03 -1.000 6.063e-03 13.060 19.789 18.648 17.828 16.856 16.537 13.555 13.113
0.0060543 -0.40000 9.00000 0.0955032334 1.1324061760    0.095 -3.217  3.4152  5.248    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.92e-17      0.00 7.346e-01 2.593e-01 1.090e-03 2.941e-04 2.668e-03 -1.000 6.063e-03 12.813 19.526 18.389 17.569 16.600 16.281 13.306 12.866
0.0060543 -0.40000 9.00000 0.0992661491 1.1649468934    0.099 -3.146  3.4257  5.236    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.91e-17      0.00 7.346e-01 2.593e-01 1.090e-03 2.941e-04 2.668e-03 -1.000 6.063e-03 12.636 19.013 17.932 17.104 16.175 15.852 13.031 12.617
0.0060543 -0.40000 9.00000 0.1064057201 1.2224914730    0.106 -3.051  3.4374  5.217    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.47e-17      0.00 7.346e-01 2.593e-01 1.090e-03 2.941e-04 2.668e-03 -1.000 6.063e-03 12.398 18.322 17.315 16.487 15.615 15.291 12.659 12.282
0.0060543 -0.40000 9.00000 0.1177984178 1.3046302200    0.118 -2.905  3.4552  5.186    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.17e-16      0.00 7.346e-01 2.594e-01 1.090e-03 2.941e-04 2.668e-03 -1.000 6.063e-03 12.032 17.320 16.412 15.583 14.789 14.465 12.110 11.782
0.0060543 -0.40000 9.00000 0.1363307089 1.4183172268    0.136 -2.725  3.4746  5.147    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.72e-16      0.00 7.345e-01 2.595e-01 1.090e-03 2.941e-04 2.668e-03 -1.000 6.063e-03 11.584 16.239 15.421 14.581 13.861 13.532 11.491 11.211
0.0060543 -0.40000 9.00000 0.1437202841 1.4581793735    0.143 -2.668  3.4801  5.135    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.93e-16      0.00 7.345e-01 2.595e-01 1.090e-03 2.941e-04 2.668e-03 -1.000 6.063e-03 11.440 15.924 15.130 14.286 13.586 13.257 11.302 11.035
0.0060543 -0.40000 9.00000 0.1548629701 1.5135022991    0.155 -2.586  3.4880  5.117    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.29e-16      0.00 7.344e-01 2.595e-01 1.090e-03 2.941e-04 2.668e-03 -1.000 6.063e-03 11.236 15.489 14.723 13.874 13.197 12.864 11.039 10.789
0.0060543 -0.40000 9.00000 0.1919275373 1.6657517084    0.191 -2.378  3.5057  5.073    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -3.5e-16      0.00 7.343e-01 2.597e-01 1.090e-03 2.941e-04 2.668e-03 -1.000 6.063e-03 10.715 14.515 13.807 12.958 12.327 11.991 10.409 10.192
0.0060543 -0.40000 9.00000 0.2329954654 1.7951499935    0.232 -2.203  3.5193  5.035    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.97e-16      0.00 7.341e-01 2.598e-01 1.090e-03 2.941e-04 2.668e-03 -1.000 6.063e-03 10.276 13.776 13.103 12.260 11.653 11.314 9.901 9.706
0.0060543 -0.40000 9.00000 0.2382582277 1.8095780646    0.237 -2.182  3.5209  5.031    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.18e-16      0.00 7.341e-01 2.598e-01 1.090e-03 2.941e-04 2.668e-03 -1.000 6.063e-03 10.226 13.694 13.025 12.183 11.579 11.240 9.844 9.651
