# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  F435Wmag  F475Wmag  F555Wmag  F606Wmag  F625Wmag  F775Wmag  F814Wmag
0.00097797 -1.20000 9.00000 0.0900000036 1.0816895926    0.090 -3.190  3.4598  5.373    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.61e-17      0.00 7.489e-01 2.501e-01 1.769e-04 4.773e-05 4.329e-04 -1.000 9.839e-04 12.744 17.993 16.976 16.031 15.111 14.735 12.506 12.217
0.00097797 -1.20000 9.00000 0.0931464508 1.1111639944    0.093 -3.121  3.4697  5.358    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.58e-17      0.00 7.488e-01 2.502e-01 1.769e-04 4.773e-05 4.329e-04 -1.000 9.839e-04 12.571 17.504 16.549 15.579 14.719 14.344 12.284 12.018
0.00097797 -1.20000 9.00000 0.0985076502 1.1585179813    0.098 -2.995  3.4879  5.330    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.81e-17      0.00 7.487e-01 2.503e-01 1.769e-04 4.773e-05 4.329e-04 -1.000 9.839e-04 12.257 16.639 15.786 14.782 14.021 13.647 11.889 11.662
0.00097797 -1.20000 9.00000 0.1000000015 1.1711064122    0.100 -2.959  3.4931  5.321    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -9.6e-17      0.00 7.487e-01 2.503e-01 1.769e-04 4.773e-05 4.329e-04 -1.000 9.839e-04 12.167 16.405 15.576 14.568 13.830 13.458 11.779 11.561
0.00097797 -1.20000 9.00000 0.1078024432 1.2331631192    0.108 -2.843  3.5064  5.291    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.24e-16      0.00 7.487e-01 2.503e-01 1.769e-04 4.773e-05 4.329e-04 -1.000 9.839e-04 11.878 15.768 14.996 13.993 13.306 12.935 11.446 11.250
0.00097797 -1.20000 9.00000 0.1199999973 1.3193154249    0.120 -2.677  3.5257  5.248    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.82e-16      0.00 7.486e-01 2.504e-01 1.769e-04 4.773e-05 4.329e-04 -1.000 9.839e-04 11.461 14.901 14.200 13.234 12.595 12.228 10.974 10.806
0.00097797 -1.20000 9.00000 0.1400000006 1.4384526719    0.140 -2.497  3.5419  5.200    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.69e-16      0.00 7.484e-01 2.506e-01 1.769e-04 4.773e-05 4.329e-04 -1.000 9.839e-04 11.012 14.118 13.469 12.556 11.943 11.580 10.487 10.337
0.00097797 -1.20000 9.00000 0.1480126679 1.4801308126    0.148 -2.440  3.5462  5.185    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.03e-16      0.00 7.484e-01 2.506e-01 1.769e-04 4.773e-05 4.329e-04 -1.000 9.839e-04 10.871 13.895 13.259 12.361 11.754 11.393 10.338 10.192
0.00097797 -1.20000 9.00000 0.1599999964 1.5372931554    0.160 -2.362  3.5522  5.165    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.58e-16      0.00 7.483e-01 2.507e-01 1.769e-04 4.773e-05 4.329e-04 -1.000 9.840e-04 10.674 13.586 12.967 12.091 11.492 11.133 10.129 9.989
0.00097797 -1.20000 9.00000 0.2000000179 1.6938791367    0.200 -2.156  3.5664  5.112    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.46e-16      0.00 7.481e-01 2.509e-01 1.769e-04 4.773e-05 4.329e-04 -1.000 9.840e-04 10.159 12.828 12.245 11.422 10.841 10.488 9.591 9.464
0.00097797 -1.20000 9.00000 0.2500000000 1.8403257998    0.250 -1.965  3.5780  5.065    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.99e-16      0.00 7.480e-01 2.511e-01 1.769e-04 4.773e-05 4.329e-04 -1.000 9.839e-04 9.683 12.169 11.615 10.832 10.270 9.924 9.099 8.981
